Location,lng,lat,sum_vehicle
ELIZABETH ST AT ELM ST,-79.38588467,43.6569889,1960
ELIZABETH ST AT GERRARD ST (PX 1358),-79.38641501,43.658173,5158
ELM ST AT UNIVERSITY AVE (PX 82),-79.388967,43.656347,11113
ELM ST AT YONGE ST,-79.38158723,43.65790781,1776
FREDERICK ST AT FRONT ST E,-79.36907403,43.65010018,2520
FREELAND ST AT QUEENS QUAY E,-79.37306563,43.64248088,2224
FRONT ST AT PORTLAND ST (PX 2316),-79.398846,43.641429,3635
FRONT ST AT SPADINA AVE (PX 272),-79.393928,43.642738,40932
FRONT ST AT YONGE ST (PX 29),-79.376974,43.646884,25025
FRONT ST E AT GEORGE ST (PX 1845),-79.370315,43.649819,2312
FRONT ST E AT LOWER JARVIS ST & JARVIS ST (PX 2),-79.371464,43.64945,18365
FRONT ST E AT PARLIAMENT ST (PX 244),-79.36274,43.651568,11167
FRONT ST E AT SCOTT ST,-79.37576351,43.64746074,2862
FRONT ST W AT JOHN ST (PX 1417),-79.388717,43.643969,4193
FRONT ST W AT LOWER SIMCOE ST & SIMCOE ST (PX 263),-79.385021,43.644775,2684
FRONT ST W AT UNIVERSITY AVE & YORK ST (PX 75),-79.38247099,43.645292,27547
GEORGE ST AT GERRARD ST E,-79.37485096,43.66065407,4162
GEORGE ST AT KING ST E (PX 1965),-79.37069299,43.650732,3812
GEORGE ST AT RICHMOND ST (PX 1961),-79.371605,43.652817,3385
GEORGE ST S AT THE ESPLANADE,-79.36976613,43.64848938,1450
GERRARD ST AT JARVIS ST (PX 9),-79.375899,43.660439,17082
GERRARD ST AT ONTARIO ST (PX 1019),-79.369717,43.661781,2090
GERRARD ST AT PARLIAMENT ST (PX 249),-79.367035,43.66195,7496
GERRARD ST AT SACKVILLE ST (PX 197),-79.36403699,43.662587,2562
GERRARD ST AT SUMACH ST (PX 1390),-79.361498,43.663158,5473
GERRARD ST AT UNIVERSITY AVE (PX 1608),-79.38948899,43.657529,22501
GERRARD ST AT YONGE ST (PX 37),-79.38211701,43.659095,5493
GERRARD ST E AT PEMBROKE ST,-79.37356518,43.6609427,2187
GERRARD ST E AT RIVER ST (PX 176),-79.359244,43.663707,12956
